Date,Open,High,Low,Close,Adj Close,Volume
Sep 18,2026,525.00,545.00,520.00,545.00,545.00,236808400
Sep 17,2026,515.00,530.00,505.00,520.00,520.00,123655900
Sep 16,2026,496.00,515.00,492.00,500.00,500.00,108854900
Sep 15,2026,505.00,510.00,496.00,496.00,496.00,64350000
Sep 14,2026,520.00,520.00,486.00,505.00,505.00,249145100
Sep 11,2026,520.00,525.00,510.00,520.00,520.00,89371800
Sep 10,2026,550.00,555.00,525.00,530.00,530.00,147177400
Sep 9,2026,560.00,565.00,545.00,550.00,550.00,175864700
Sep 8,2026,530.00,560.00,525.00,560.00,560.00,446559400
Sep 7,2026,525.00,530.00,510.00,510.00,510.00,104017500
Sep 4,2026,530.00,535.00,515.00,520.00,520.00,103448800
Sep 3,2026,530.00,540.00,525.00,530.00,530.00,102859900
Sep 2,2026,535.00,540.00,515.00,525.00,525.00,169441400
Sep 1,2026,550.00,570.00,535.00,535.00,535.00,153194200
Aug 31,2026,550.00,570.00,545.00,550.00,550.00,93003400
Aug 28,2026,570.00,575.00,550.00,555.00,555.00,71481900
Aug 27,2026,540.00,570.00,535.00,570.00,570.00,96942100
Aug 26,2026,565.00,595.00,545.00,545.00,545.00,239088200
Aug 24,2026,575.00,580.00,560.00,565.00,565.00,94696300
Aug 21,2026,570.00,585.00,560.00,565.00,565.00,137586100
Aug 20,2026,525.00,580.00,520.00,565.00,565.00,368801700
Aug 19,2026,520.00,525.00,505.00,510.00,510.00,50389900
Aug 18,2026,525.00,535.00,515.00,515.00,515.00,46810100
Aug 14,2026,510.00,530.00,500.00,525.00,525.00,81941000
Aug 13,2026,560.00,560.00,505.00,510.00,510.00,121288700
Aug 12,2026,530.00,555.00,525.00,550.00,550.00,95660800
Aug 11,2026,545.00,550.00,520.00,530.00,530.00,89511800
Aug 10,2026,550.00,565.00,535.00,545.00,545.00,122294200
Aug 7,2026,535.00,565.00,530.00,550.00,550.00,182060800
Aug 6,2026,555.00,560.00,530.00,530.00,530.00,139332500
Aug 5,2026,550.00,560.00,540.00,550.00,550.00,142757200
Aug 4,2026,520.00,545.00,515.00,545.00,545.00,182344500
Aug 3,2026,520.00,520.00,505.00,515.00,515.00,72975500
Jul 31,2026,492.00,515.00,492.00,505.00,505.00,76990200
Jul 30,2026,484.00,496.00,484.00,488.00,488.00,50653500
Jul 29,2026,496.00,500.00,474.00,482.00,482.00,95781400
Jul 28,2026,500.00,505.00,496.00,496.00,496.00,41461800
Jul 27,2026,515.00,515.00,498.00,505.00,505.00,62108400
Jul 24,2026,530.00,530.00,505.00,505.00,505.00,101970900
Jul 23,2026,540.00,560.00,535.00,535.00,535.00,124454000
Jul 22,2026,540.00,555.00,525.00,535.00,535.00,112368200
Jul 21,2026,525.00,540.00,520.00,540.00,540.00,125965900
Jul 20,2026,515.00,525.00,515.00,525.00,525.00,58486900
Jul 17,2026,525.00,530.00,510.00,515.00,515.00,44914400
Jul 16,2026,525.00,530.00,515.00,525.00,525.00,48812600
Jul 15,2026,515.00,530.00,505.00,520.00,520.00,83260500
Jul 14,2026,500.00,520.00,496.00,510.00,510.00,89404900
Jul 13,2026,494.00,500.00,484.00,500.00,500.00,46083200
Jul 10,2026,505.00,505.00,490.00,494.00,494.00,42645700
Jul 9,2026,478.00,505.00,478.00,496.00,496.00,89954400
Jul 8,2026,505.00,505.00,478.00,478.00,478.00,86779700
Jul 7,2026,515.00,515.00,498.00,510.00,510.00,32357200
Jul 6,2026,520.00,525.00,500.00,510.00,510.00,44780500
Jul 3,2026,525.00,540.00,505.00,520.00,520.00,74105000
Jul 2,2026,510.00,525.00,505.00,520.00,520.00,83549300
Jul 1,2026,462.00,510.00,452.00,510.00,510.00,144014200
Jun 30,2026,494.00,496.00,462.00,462.00,462.00,112998300
Jun 29,2026,496.00,510.00,490.00,494.00,494.00,109912900
Jun 26,2026,510.00,515.00,484.00,496.00,496.00,99767900
Jun 25,2026,496.00,520.00,484.00,505.00,505.00,207329600
Jun 24,2026,525.00,545.00,490.00,492.00,492.00,147390200
Jun 23,2026,505.00,535.00,498.00,535.00,535.00,147119600
Jun 22,2026,545.00,545.00,505.00,505.00,505.00,122341600
Jun 19,2026,545.00,565.00,530.00,540.00,540.00,257517300
Jun 18,2026,515.00,540.00,505.00,535.00,535.00,152990400
Jun 17,2026,525.00,550.00,510.00,515.00,515.00,204638100
Jun 15,2026,496.00,545.00,494.00,510.00,510.00,384052700
Jun 12,2026,452.00,486.00,452.00,482.00,482.00,202671900
Jun 11,2026,468.00,478.00,442.00,448.00,448.00,161354500
Jun 10,2026,450.00,488.00,438.00,472.00,472.00,306080200
Jun 9,2026,440.00,460.00,424.00,450.00,450.00,225055500
Jun 8,2026,426.00,462.00,408.00,440.00,440.00,203960400
Jun 5,2026,434.00,454.00,430.00,434.00,434.00,186244100
Jun 4,2026,458.00,458.00,398.00,432.00,432.00,197605900
Jun 3,2026,474.00,478.00,426.00,444.00,444.00,174554300
